fleet;year;stdcpue;cv;ref;
Joint_LL_7919;2000;0.790005312;0.037858644;SCRS/2018/052;
Joint_LL_7919;2001;0.655484934;0.039849807;SCRS/2018/052;
Joint_LL_7919;2002;0.69951582;0.039044951;SCRS/2018/052;
Joint_LL_7919;2003;0.719530537;0.038398301;SCRS/2018/052;
Joint_LL_7919;2004;0.580240749;0.040404792;SCRS/2018/052;
Joint_LL_7919;2005;0.673155421;0.038756678;SCRS/2018/052;
Joint_LL_7919;2006;0.745657035;0.038509931;SCRS/2018/052;
Joint_LL_7919;2007;0.755396293;0.038692781;SCRS/2018/052;
Joint_LL_7919;2008;0.642940536;0.04020652;SCRS/2018/052;
Joint_LL_7919;2009;0.575718788;0.041196317;SCRS/2018/052;
Joint_LL_7919;2010;0.609711548;0.040708381;SCRS/2018/052;
Joint_LL_7919;2011;0.585176143;0.040545138;SCRS/2018/052;
Joint_LL_7919;2012;0.623504982;0.040157538;SCRS/2018/052;
Joint_LL_7919;2013;0.787040711;0.038678;SCRS/2018/052;
Joint_LL_7919;2014;0.835398685;0.039693513;SCRS/2018/052;
Joint_LL_7919;2015;0.856820163;0.03878355;SCRS/2018/052;
Joint_LL_7919;2016;0.785611787;0.039359771;SCRS/2018/052;
Joint_LL_7919;2017;0.762290664;0.039422409;SCRS/2018/052;
Joint_LL_7919;2018;0.657237189;0.041220421;SCRS/2018/052;
Joint_LL_7919;2019;0.706386548;0.039680835;SCRS/2018/052;
